doc_id,corpus,author,segment_id,has_violent_reference,has_role_model_status,violent_reference_count,role_model_status_count,word_count,role_model_glorification
the-lawful-and-the-prohibited-in-islam_text.pdf,non_longitudinal,NA,1,FALSE,TRUE,0,30,121566,FALSE
unions and councils_10.11.1919,longitudinal,gramsci,1,FALSE,FALSE,0,0,1864,FALSE
unions and councils_10.11.1919,non_longitudinal,NA,1,FALSE,FALSE,0,0,1864,FALSE
unions and the dictatorship_10.25.1919,longitudinal,gramsci,1,FALSE,FALSE,0,0,1634,FALSE
unions and the dictatorship_10.25.1919,non_longitudinal,NA,1,FALSE,FALSE,0,0,1634,FALSE
universal declaration of human rights.pdf,non_longitudinal,NA,1,FALSE,FALSE,0,0,1784,FALSE
war is war_1.31.1921,longitudinal,gramsci,1,FALSE,FALSE,0,0,1201,FALSE
war is war_1.31.1921,non_longitudinal,NA,1,FALSE,FALSE,0,0,1201,FALSE
workers and peasants_1.3.1920,longitudinal,gramsci,1,FALSE,FALSE,0,0,878,FALSE
workers and peasants_1.3.1920,non_longitudinal,NA,1,FALSE,FALSE,0,0,878,FALSE
workers and peasants_8.2.1919,longitudinal,gramsci,1,FALSE,FALSE,0,0,1820,FALSE
workers and peasants_8.2.1919,non_longitudinal,NA,1,FALSE,FALSE,0,0,1820,FALSE
workers' democracy_6.21.1919,longitudinal,gramsci,1,FALSE,FALSE,0,0,1360,FALSE
workers' democracy_6.21.1919,non_longitudinal,NA,1,FALSE,FALSE,0,0,1360,FALSE
“Cultural-National” Autonomy_11.28.1913,longitudinal,lenin,1,FALSE,FALSE,0,0,1347,FALSE
“Disgrace” as the Capitalists and the Proletarians Understand It_5.5.1917,longitudinal,lenin,1,FALSE,FALSE,0,0,448,FALSE
